Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,186.725,-81.05,90.0,top
C2,0.1uF,C_0603_1608Metric,193.545,-84.55,180.0,top
C3,330pF,C_0603_1608Metric,169.925,-92.25,-90.0,top
C4,1uF,C_0603_1608Metric,177.625,-84.95,90.0,top
C5,0.1uF,C_0603_1608Metric,172.275,-97.85,180.0,top
C6,0.1uF,C_0603_1608Metric,169.925,-89.25,-90.0,top
C7,0.1uF,C_0603_1608Metric,180.255,-98.65,0.0,top
C8,0.1uF,C_0603_1608Metric,176.125,-84.95,90.0,top
C9,1uF,C_0603_1608Metric,179.925,-88.95,0.0,top
C10,0.1uF,C_0603_1608Metric,171.4435,-125.125,180.0,top
C11,0.1uF,C_0603_1608Metric,188.9,-138.525,-90.0,top
C12,0.1uF,C_0603_1608Metric,174.0,-77.95,90.0,top
C13,0.1uF,C_0603_1608Metric,181.6,-77.95,-90.0,top
C14,0.1uF,C_0603_1608Metric,176.3,-123.35,90.0,top
C15,0.1uF,C_0603_1608Metric,171.7,-135.825,180.0,top
C16,0.1uF,C_0603_1608Metric,188.6,-127.825,0.0,top
C17,0.1uF,C_0603_1608Metric,183.6,-140.425,-90.0,top
C18,0.1uF,C_0603_1608Metric,182.1,-140.425,-90.0,top
C19,0.1uF,C_0603_1608Metric,182.4,-154.45,90.0,top
C20,10uF,C_0603_1608Metric,199.375,-119.85,-90.0,top
C21,0.1uF,C_0603_1608Metric,200.675,-114.05,180.0,top
C22,0.1uF,C_0603_1608Metric,159.0,-111.45,0.0,top
C23,22uF,C_0603_1608Metric,194.475,-117.15,-90.0,top
C27,10uF,C_0603_1608Metric,201.975,-106.85,-90.0,top
C28,10uF,C_0603_1608Metric,203.475,-106.85,-90.0,top
C29,0.1uF,C_0603_1608Metric,204.975,-106.85,-90.0,top
C30,0.1uF,C_0603_1608Metric,202.775,-100.85,180.0,top
C31,22uF,C_0603_1608Metric,193.675,-100.45,90.0,top
C32,22uF,C_0603_1608Metric,192.075,-100.45,90.0,top
C33,22uF,C_0603_1608Metric,192.975,-117.15,-90.0,top
D1,UPS840E3/TR13,POWERMITE3_MCH,213.385,-97.46865,0.0,top
D2,150060YS75000,D_0603_1608Metric,174.3,-144.45,90.0,top
D3,UPS840E3/TR13,POWERMITE3_MCH,207.485,-126.22965,0.0,top
D4,150060GS75000,D_0603_1608Metric,223.6,-117.25,0.0,top
FB1,FerriteBead,L_0603_1608Metric,180.6,-140.425,-90.0,top
FB2,FerriteBead,L_0603_1608Metric,171.4435,-123.625,0.0,top
J1,Conn_01x03_Pin,PinHeader_1x03_P2.54mm_Vertical,211.3,-88.31,180.0,top
J2,Conn_01x04_Pin,Molex_Nano-Fit_105310-xx04_2x02_P2.50mm_Vertical,221.12,-95.8,180.0,top
