Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R11,180m,R_0603_1608Metric,33.7,9.9,90.0,top
R12,180m,R_0603_1608Metric,37.9,9.6,90.0,top
R13,5.1k,R_0603_1608Metric,10.675,61.1,0.0,top
R14,1k,R_0603_1608Metric,106.81,17.945,-90.0,top
R15,1k,R_0603_1608Metric,106.81,24.245,-90.0,top
R16,1k,R_0603_1608Metric,106.81,30.545,-90.0,top
R17,3.3k,R_0603_1608Metric,4.175,55.6,180.0,top
R18,10k,R_0603_1608Metric,38.8,55.6,0.0,top
R19,10k,R_0603_1608Metric,26.1,54.4,180.0,top
R2,10k,R_0603_1608Metric,35.4,20.0,90.0,top
R20,54.9k,R_0603_1608Metric,27.0,45.9,0.0,top
R21,10k,R_0603_1608Metric,27.0,44.4,180.0,top
R22,10k,R_0603_1608Metric,20.075,96.3,0.0,top
R23,5.1k,R_0603_1608Metric,10.675,65.8,0.0,top
R24,1k,R_0603_1608Metric,59.9,65.8,90.0,top
R25,10k,R_0603_1608Metric,33.0,93.025,90.0,top
R26,10k,R_0603_1608Metric,35.6,92.925,90.0,top
R27,33.2k,R_0603_1608Metric,32.3,34.54,0.0,top
R28,10k,R_0603_1608Metric,32.3,33.04,180.0,top
R29,10k,R_0603_1608Metric,68.0,103.9,90.0,top
R3,220,R_0603_1608Metric,45.5,75.425,90.0,top
R30,10k,R_0603_1608Metric,48.9,103.9,-90.0,top
R31,10k,R_0603_1608Metric,74.3,84.875,180.0,top
R35,0,R_0603_1608Metric,15.56,33.64,0.0,top
R36,0,R_0603_1608Metric,15.56,31.14,0.0,top
R37,0,R_0603_1608Metric,15.56,28.64,0.0,top
R38,1k,R_0603_1608Metric,61.7,9.59,0.0,top
R39,1k,R_0603_1608Metric,43.875,9.59,0.0,top
R4,180m,R_0603_1608Metric,68.5,9.6,90.0,top
R40,1k,R_0603_1608Metric,25.96,9.59,0.0,top
R5,180m,R_0603_1608Metric,73.3,9.4,90.0,top
R6,150k,R_0603_1608Metric,69.2,79.675,90.0,top
R7,150k,R_0603_1608Metric,69.2,82.675,-90.0,top
R8,120,R_0603_1608Metric,10.8,22.2,0.0,top
R9,180m,R_0603_1608Metric,51.2,9.7,90.0,top
RV1,3386P-1-103LF,Potentiometer_Bourns_3386P_Vertical,58.64,73.48,-90.0,top
SW1,CK_PTS526_SK15_Switch,CK_PTS526_SK15_Switch,61.8,103.0,180.0,top
SW2,CK_PTS526_SK15_Switch,CK_PTS526_SK15_Switch,53.6,103.0,180.0,top
SW3,SW_DIP_x02,DIP-4_W8.89mm_SMDSocket_LongPads,34.3,100.925,90.0,top
U1,STM32G474RETx,LQFP-64_10x10mm_P0.5mm,53.5,59.5,180.0,top
U10,W25Q16JVSSIQ,SOIC-8_5.23x5.23mm_P1.27mm,32.3,55.0,180.0,top
U12,TXB0104RUT,Texas_R-PUQFN-N12,91.2,27.6,-90.0,top
U13,ESD122DMYR,DMY0003A,9.975,63.8,180.0,top
U14,ESD122DMYR,DMY0003A,13.35,10.800001,0.0,top
U15,ESD122DMYR,DMY0003A,9.3,10.8,180.0,top
U17,TBD62783A,SOIC-18W_7.5x11.6mm_P1.27mm,23.41,31.52,180.0,top
U2,TMC2209,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,71.5,14.5,180.0,top
U3,TPA2005D1,HVSSOP-8-1EP_3x3mm_P0.65mm_EP1.57x1.89mm_SmallPads,73.1,81.655,0.0,top
U4,ATA6561,SOIC-8_3.9x4.9mm_P1.27mm,55.4,39.9,-90.0,top
U5,TMC2209,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,53.7,14.5,180.0,top
U6,TMC2209,QFN-28-1EP_5x5mm_P0.5mm_EP3.75x3.75mm,36.0,14.5,180.0,top
U7,TXB0104RUT,Texas_R-PUQFN-N12,89.9,51.6,0.0,top
U8,TPS561201,SOT-23-6,36.2,34.2,180.0,top
U9,TPS565208,SOT-23-6,30.8,45.3,180.0,top
XTAL1,ASEMB-8.000MHZ-LC-T,ABRACON_ASE,62.0,56.3,90.0,top
